This file was created by CMPT_ME_BEME_RETS using the 201011 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

        Mkt-RF     SMB     HML      RF
198303    2.84    1.79    2.09    0.63
198304    6.71    0.52    0.62    0.71
198305    0.63    6.13   -1.45    0.69
198306    3.11    0.96   -3.87    0.67
198307   -3.90    1.53    5.62    0.74
198308   -0.41   -4.32    5.48    0.76
198309    0.85    0.59    1.05    0.76
198310   -3.56   -3.62    4.97    0.76
198311    2.26    2.01   -0.71    0.70
198312   -1.78   -0.31    1.71    0.73
198401   -2.06   -0.41    7.61    0.76
198402   -4.62   -1.70    3.34    0.71
198403    0.61    0.11    0.53    0.73
198404   -0.56   -1.15    1.25    0.81
198405   -6.01    0.05    0.25    0.78
198406    1.59   -0.24   -2.62    0.75
198407   -2.88   -2.30    0.30    0.82
198408   10.44   -0.20   -1.78    0.83
198409   -0.82    0.24    5.34    0.86
198410   -1.01   -1.18    0.52    1.00
198411   -1.80   -0.64    4.02    0.73
198412    1.73   -0.56   -0.12    0.64
198501    7.92    3.26   -5.38    0.65
198502    1.11    0.78   -0.19    0.58
198503   -0.79   -1.11    4.02    0.62
198504   -0.94    0.17    3.71    0.72
198505    4.92   -2.30   -0.90    0.66
198506    1.16    0.50    0.45    0.55
198507   -0.65    2.85   -1.64    0.62
198508   -1.03   -0.38    2.18    0.55
198509   -4.58   -1.60    1.23    0.60
198510    3.79   -1.59    0.70    0.65
198511    6.31    0.22   -2.87    0.61
198512    3.66   -0.44   -1.53    0.65
198601    0.42    1.18    0.50    0.56
198602    6.72   -0.57   -0.75    0.53
198603    4.79   -0.48   -0.45    0.60
198604   -1.31    2.82   -2.91    0.52
198605    4.59   -1.27   -0.11    0.49
198606    0.90   -0.89    1.40    0.52
198607   -6.49   -3.45    4.71    0.52
198608    6.16   -4.18    3.50    0.46
198609   -8.35    2.31    3.23    0.45
198610    4.47   -2.61   -1.48    0.46
198611    1.12   -1.95   -0.13    0.39
198612   -3.13    0.06    0.27    0.49
198701   12.43   -1.76   -3.16    0.42
198702    4.36    3.47   -5.90    0.43
198703    1.90    0.39    1.64    0.47
198704   -2.14   -1.67   -0.23    0.44
198705    0.13   -0.55    0.20    0.38
198706    3.89   -2.10    1.13    0.48
198707    3.96   -0.65    0.72    0.46
198708    3.24   -0.78   -0.95    0.47
198709   -2.53    0.57    0.30    0.45
198710  -23.14   -8.37    4.23    0.60
198711   -7.58    2.60    3.17    0.35
198712    6.64    0.19   -4.42    0.39
198801    4.20   -0.69    5.16    0.29
198802    4.71    3.33   -1.66    0.46
198803   -2.10    6.17    0.77    0.44
198804    0.64    0.96    1.73    0.46
198805   -0.47   -2.65    2.29    0.51
198806    4.66    2.06   -1.22    0.49
198807   -1.24   -0.17    2.30    0.51
198808   -3.39    0.09    2.06    0.59
198809    3.10   -1.29   -0.74    0.62
198810    1.15   -2.93    1.65    0.61
198811   -2.21   -1.76    1.27    0.57
198812    1.48    1.93   -1.56    0.63
198901    6.06   -2.16    0.55    0.55
198902   -2.25    2.75    0.87    0.61
198903    1.48    0.71    0.46    0.67
198904    4.15   -0.55   -1.38    0.67
198905    3.14   -0.02   -0.83    0.79
198906   -1.20   -1.00    2.17    0.71
198907    7.01   -4.00   -2.75    0.70
198908    1.47    0.50    0.65    0.74
198909   -0.80    0.36   -1.31    0.65
198910   -3.61   -3.22   -0.96    0.68
198911    1.09   -1.24   -1.10    0.69
198912    1.22   -2.35    0.31    0.61
199001   -7.58   -1.28    0.92    0.57
199002    0.92    1.13    0.64    0.57
199003    1.77    1.49   -2.85    0.64
199004   -3.52   -0.45   -2.49    0.69
199005    8.21   -2.50   -3.63    0.68
199006   -1.05    1.41   -2.12    0.63
199007   -1.62   -3.16   -0.05    0.68
199008   -9.85   -3.53    1.50    0.66
199009   -5.98   -3.63    0.67    0.60
199010   -1.93   -5.52    0.27    0.68
199011    6.00    0.31   -2.97    0.57
199012    2.35    0.77   -1.50    0.60
199101    4.39    3.85   -1.73    0.52
199102    7.10    3.89   -0.59    0.48
199103    2.45    3.92   -1.19    0.44
199104   -0.20    0.52    1.43    0.53
199105    3.60   -0.33   -0.56    0.47
199106   -4.82    0.07    1.23    0.42
199107    4.19   -0.98   -1.29    0.49
199108    2.22    1.58   -0.79    0.46
199109   -1.56    1.66   -1.04    0.46
199110    1.36    0.85   -0.38    0.42
199111   -4.12   -0.53   -1.77    0.39
199112   10.30   -2.30   -3.97    0.38
199201   -0.46    8.42    4.62    0.34
199202    1.06    0.85    6.35    0.28
199203   -2.71   -1.08    3.70    0.34
199204    1.02   -6.08    4.31    0.32
199205    0.36    0.43    1.18    0.28
199206   -2.25   -3.06    3.28    0.32
199207    3.68   -0.37   -0.49    0.31
199208   -2.34   -0.11   -1.10    0.26
199209    0.98    0.58   -0.20    0.26
199210    0.87    2.06   -2.05    0.23
199211    3.79    3.62   -1.51    0.23
199212    1.50    1.65    2.54    0.28
199301    1.03    2.02    5.83    0.23
199302    0.32   -3.34    6.50    0.22
199303    2.26    0.26    1.22    0.25
199304   -2.78   -0.65    2.64    0.24
199305    2.74    1.99   -3.42    0.22
199306    0.29   -0.29    2.62    0.25
199307   -0.32    0.96    3.23    0.24
199308    3.70    0.28   -0.38    0.25
199309   -0.20    3.08   -0.43    0.26
199310    1.59    1.47   -1.62    0.22
199311   -2.01   -1.46   -0.34    0.25
199312    1.72    1.23    0.59    0.23
199401    2.90    0.10    2.15    0.25
199402   -2.63    2.70   -1.40    0.21
199403   -4.85   -0.89    1.28    0.27
199404    0.68   -0.85    1.65    0.27
199405    0.62   -2.03    0.13    0.32
199406   -3.10   -0.49    1.71    0.31
199407    2.78   -1.77    0.96    0.28
199408    3.89    1.45   -3.49    0.37
199409   -2.21    2.69   -1.80    0.37
199410    1.07   -2.18   -2.34    0.38
199411   -4.09   -0.17   -0.06    0.37
199412    0.82    0.05    0.22    0.44
199501    1.62   -2.96    1.71    0.42
199502    3.56   -0.32    0.36    0.40
199503    2.24   -0.33   -2.07    0.46
199504    2.06   -0.40    1.73    0.44
199505    2.86   -2.22    1.95    0.54
199506    2.65    3.08   -2.96    0.47
199507    3.63    2.22   -2.20    0.45
199508    0.46    1.83    1.90    0.47
199509    3.21   -2.05   -0.94    0.43
199510   -1.60   -3.99   -0.10    0.47
199511    3.85   -0.84    0.38    0.42
199512    1.03    0.42    1.41    0.49
199601    2.38   -2.44    0.36    0.43
199602    1.24    2.07   -2.28    0.39
199603    0.70    1.33    1.28    0.39
199604    2.09    4.89   -3.96    0.46
199605    2.26    3.22   -1.37    0.42
199606   -1.23   -3.66    1.96    0.40
199607   -5.83   -3.58    4.40    0.45
199608    2.84    2.30   -0.58    0.41
199609    4.86   -0.78   -3.78    0.44
199610    0.94   -4.09    4.84    0.42
199611    6.14   -3.55    0.20    0.41
199612   -1.60    3.15    0.94    0.46
199701    4.89   -1.48   -2.32    0.45
199702   -0.50   -2.55    4.76    0.39
199703   -4.91   -0.31    3.87    0.43
199704    3.80   -5.15   -1.03    0.43
199705    6.67    4.80   -4.37    0.49
199706    4.04    1.52    0.69    0.37
199707    7.22   -2.42   -0.39    0.43
199708   -4.04    7.49    1.05    0.41
199709    5.40    2.68   -0.29    0.44
199710   -3.87   -0.83    2.30    0.42
199711    2.66   -5.04    1.03    0.39
199712    1.30   -2.34    3.82    0.48
199801    0.02   -1.02   -1.82    0.43
199802    6.93    0.23   -0.71    0.39
199803    4.74   -1.19    1.67    0.39
199804    0.66    0.47    0.31    0.43
199805   -2.98   -3.58    4.27    0.40
199806    2.79   -3.27   -1.84    0.41
199807   -2.73   -4.89   -1.15    0.40
199808  -16.20   -5.70    5.15    0.43
199809    5.92   -0.18   -3.92    0.46
199810    7.12   -3.24   -2.68    0.32
199811    5.89    1.12   -3.31    0.31
199812    5.93   -0.29   -4.84    0.38
199901    3.48    0.69   -5.47    0.35
199902   -4.16   -5.75    1.74    0.35
199903    3.36   -3.87   -2.91    0.43
199904    4.53    3.29    2.48    0.37
199905   -2.41    3.69    2.66    0.34
199906    4.70    3.35   -4.21    0.40
199907   -3.44    2.20    0.53    0.38
199908   -1.39   -1.24   -0.97    0.39
199909   -2.68    3.27   -3.12    0.39
199910    5.81   -6.72   -3.32    0.39
199911    3.32    7.69   -7.92    0.36
199912    7.93    6.89   -9.13    0.44
200001   -4.37    4.45    0.29    0.41
200002    2.75   22.19  -12.78    0.43
200003    4.88  -16.67    7.91    0.47
200004   -6.41   -7.68    9.30    0.46
200005   -4.40   -4.79    3.79    0.50
200006    4.76   13.81   -9.95    0.40
200007   -2.19   -2.77    8.38    0.48
200008    7.08   -0.87   -1.32    0.50
200009   -5.62   -1.81    6.86    0.51
200010   -3.02   -3.75    4.93    0.56
200011  -10.76   -3.15   12.49    0.51
200012    1.53    1.53    6.21    0.50
200101    3.41    6.95   -5.64    0.54
200102  -10.32   -1.13   13.84    0.39
200103   -7.47    0.58    6.27    0.44
200104    8.00    0.32   -4.51    0.39
200105    0.74    2.96    2.87    0.32
200106   -2.03    6.41   -2.12    0.28
200107   -2.13   -4.20    5.60    0.30
200108   -6.22    2.17    3.31    0.31
200109   -9.43   -6.53    1.62    0.28
200110    2.58    6.86   -7.00    0.22
200111    7.70    0.40    0.83    0.17
200112    1.63    5.12    0.39    0.15
200201   -1.74    1.13    3.47    0.14
200202   -2.30   -1.67    3.93    0.13
200203    4.34    4.35    1.12    0.13
200204   -5.12    5.83    4.20    0.15
200205   -1.19   -3.71    2.47    0.14
200206   -7.16    3.52    1.47    0.13
200207   -8.26   -5.18   -3.66    0.15
200208    0.66   -2.19    2.18    0.14
200209  -10.14    2.71    1.15    0.14
200210    7.35   -3.00   -6.51    0.14
200211    6.01    3.18   -1.55    0.12
200212   -5.44   -0.52    3.88    0.11
200301   -2.44    1.39   -0.89    0.10
200302   -1.63   -0.29   -1.46    0.09
200303    0.93    0.83   -1.71    0.10
200304    8.18    1.12   -0.03    0.10
200305    6.26    4.71    0.17    0.09
200306    1.53    1.47    0.63    0.10
200307    2.24    5.60   -2.07    0.07
200308    2.43    2.66    1.78    0.07
200309   -0.99    0.58    0.94    0.08
200310    5.96    2.91    1.81    0.07
200311    1.59    2.23    1.39    0.07
200312    4.47   -2.81    2.68    0.08
200401    2.23    2.63    1.63    0.07
200402    1.49   -1.19    0.36    0.06
200403   -1.16    1.85    0.00    0.09
200404   -2.50   -2.53   -1.72    0.08
200405    1.35   -0.15   -0.26    0.06
200406    2.08    2.27    1.68    0.08
200407   -3.87   -3.83    4.41    0.10
200408    0.16   -1.53    1.15    0.11
200409    1.94    2.84    0.37    0.11
200410    1.67    0.45   -0.93    0.11
200411    4.67    4.11    1.91    0.15
200412    3.36    0.20   -0.36    0.16
200501   -2.82   -1.60    2.47    0.16
200502    2.11   -0.76    2.81    0.16
200503   -1.90   -1.31    1.67    0.21
200504   -2.73   -3.97   -0.46    0.21
200505    3.56    2.99   -1.21    0.24
200506    0.92    2.59    2.72    0.23
200507    4.09    2.77   -0.45    0.24
200508   -0.89   -0.89    1.40    0.30
200509    0.77   -0.64    1.19    0.29
200510   -2.35   -1.04   -0.71    0.27
200511    3.73    1.01   -1.81    0.31
200512    0.03   -0.48    0.48    0.32
200601    3.65    5.38    1.13    0.35
200602   -0.50   -0.37   -0.84    0.34
200603    1.54    3.52   -0.02    0.37
200604    0.94   -1.21    3.06    0.36
200605   -3.53   -2.99    2.72    0.43
200606   -0.44   -0.47    1.48    0.40
200607   -0.59   -3.91    3.28    0.40
200608    2.09    0.79   -1.72    0.42
200609    1.53   -1.19   -0.45    0.41
200610    3.30    1.68    0.48    0.41
200611    1.95    0.70    0.46    0.42
200612    0.68   -0.90    2.55    0.40
200701    1.50    0.04   -0.09    0.44
200702   -1.78    1.39    0.31    0.38
200703    0.87   -0.19    0.32    0.43
200704    3.55   -2.11   -0.96    0.44
200705    3.48   -0.07   -0.08    0.41
200706   -1.87    0.65   -1.05    0.40
200707   -3.57   -2.71   -2.97    0.40
200708    0.75   -0.13   -2.35    0.42
200709    3.77   -2.47   -2.09    0.32
200710    2.26    0.08   -1.98    0.32
200711   -5.27   -2.74   -0.99    0.34
200712   -0.70    0.06   -0.07    0.27
200801   -6.44   -0.76    3.05    0.21
200802   -2.33   -0.54    0.00    0.13
200803   -1.21    0.85    0.19    0.17
200804    4.94   -1.53    0.07    0.17
200805    2.22    2.87   -0.31    0.17
200806   -8.03    1.08   -1.05    0.17
200807   -1.47    3.71    3.61    0.15
200808    0.99    3.76    1.46    0.12
200809   -9.96   -0.24    4.48    0.15
200810  -18.54   -2.12   -3.13    0.08
200811   -8.55   -3.62   -4.93    0.02
200812    2.06    4.04   -1.28    0.09
200901   -7.75   -0.91   -9.93    0.00
200902  -10.12   -0.41   -6.73    0.01
200903    8.76    0.74    2.55    0.01
200904   11.04    5.14    5.74    0.01
200905    6.73   -2.61    0.44    0.00
200906   -0.28    2.64   -2.48    0.00
200907    8.24    2.48    4.83    0.01
200908    3.18   -0.58    7.62    0.01
200909    4.52    2.36    1.50    0.00
200910   -2.84   -4.28   -4.38    0.00
200911    5.74   -2.83    0.12    0.00
200912    2.92    5.88    0.74    0.00
201001   -3.71    0.43    0.57    0.00
201002    3.54    1.41    2.75    0.00
201003    6.44    1.59    2.02    0.00
201004    2.02    5.00    3.14    0.00
201005   -8.00   -0.03   -2.36    0.01
201006   -5.21   -2.05   -4.28    0.01
201007    7.24   -0.08    0.13    0.01
201008   -4.40   -2.92   -1.71    0.01
201009    9.24    3.97   -3.14    0.01
201010    3.89    0.91   -2.14    0.01
201011    0.58    3.71   -0.64    0.01

 Annual Factors: January-December 
        Mkt-RF     SMB     HML      RF
  1927   30.29   -3.00   -3.63    3.13
  1928   35.51    3.43   -5.15    3.54
  1929  -19.76  -29.79   11.92    4.74
  1930  -31.24   -4.50  -13.50    2.43
  1931  -45.44    4.23  -15.93    1.09
  1932   -9.43    5.63    5.54    0.95
  1933   57.20   54.07   15.15    0.30
  1934    4.09   25.31  -29.37    0.18
  1935   44.70    8.65   13.24    0.14
  1936   31.97   16.16   29.20    0.18
  1937  -34.90  -13.47   -4.03    0.29
  1938   28.20   12.57  -14.27   -0.04
  1939    2.11    5.46  -17.38    0.01
  1940   -7.43    0.80   -0.95   -0.02
  1941   -9.67   -4.33   11.67    0.04
  1942   16.02    5.30   19.08    0.28
  1943   27.70   31.30   34.54    0.36
  1944   21.02   16.86   18.19    0.33
  1945   38.13   25.31   13.81    0.32
  1946   -6.26   -4.18    2.04    0.36
  1947    2.88   -7.59    9.48    0.50
  1948    1.52   -9.16    2.99    0.81
  1949   18.99    3.51   -3.79    1.12
  1950   28.81    1.17   27.24    1.22
  1951   19.34   -4.76   -5.58    1.49
  1952   11.64   -6.83    4.63    1.65
  1953   -1.47   -0.55   -8.53    1.83
  1954   49.31   -2.14   25.20    0.86
  1955   23.73   -5.91    5.08    1.57
  1956    6.01   -0.72   -2.12    2.47
  1957  -13.53   -2.54   -6.80    3.15
  1958   43.30   14.69   13.19    1.53
  1959    9.62    5.51    1.65    2.98
  1960   -1.52   -2.20   -5.25    2.67
  1961   24.82    0.35    6.33    2.12
  1962  -13.05   -8.52    9.32    2.73
  1963   17.77   -6.02   16.47    3.11
  1964   12.78   -1.19   10.24    3.53
  1965   10.47   21.64    7.57    3.92
  1966  -13.44    2.85   -0.91    4.75
  1967   24.36   50.52   -8.42    4.21
  1968    8.95   24.23   18.79    5.22
  1969  -17.41  -14.03   -9.91    6.57
  1970   -6.44  -11.91   22.10    6.52
  1971   11.81    6.00  -10.98    4.39
  1972   13.50  -11.78    1.73    3.84
  1973  -25.68  -23.47   17.97    6.93
  1974  -35.95   -0.77   10.05    8.01
  1975   31.56   15.32    9.19    5.80
  1976   21.68   14.58   24.74    5.08
  1977   -8.10   23.16    7.62    5.13
  1978    1.36   14.46    0.62    7.19
  1979   14.03   21.54   -1.93   10.38
  1980   21.98    5.77  -25.11   11.26
  1981  -18.70    7.32   25.09   14.72
  1982    9.89    9.23   13.55   10.53
  1983   13.85   13.75   20.53    8.80
  1984   -6.68   -8.06   19.43    9.84
  1985   23.69    0.17    0.86    7.72
  1986    9.40   -9.75    9.25    6.16
  1987   -3.64  -10.90   -1.23    5.47
  1988   11.20    5.82   14.73    6.36
  1989   20.06  -12.43   -3.94    8.38
  1990  -13.92  -13.97   -9.56    7.84
  1991   28.05   15.98  -13.98    5.60
  1992    5.56    7.61   24.19    3.50
  1993    8.69    5.96   18.93    2.90
  1994   -4.67   -1.38   -0.91    3.91
  1995   30.07   -7.62    1.67    5.60
  1996   15.96   -2.01    3.48    5.20
  1997   25.08   -4.65   12.66    5.25
  1998   17.43  -25.62   -8.81    4.85
  1999   20.55   14.90  -33.92    4.69
  2000  -16.95   -1.44   40.43    5.88
  2001  -15.12   18.74   18.50    3.86
  2002  -22.48    3.53   10.20    1.63
  2003   32.12   27.73    4.77    1.02
  2004   11.81    4.95    9.52    1.19
  2005    4.34   -2.04    8.77    2.98
  2006   11.39    0.46   14.25    4.81
  2007    2.65   -8.32  -12.10    4.67
  2008  -39.94    4.12    0.83    1.64
  2009   31.56    7.94   -5.23    0.05

Copyright 2010 Kenneth R. French
